"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Program ID,Program Name,Category,Administrator,Eligible Counties,Eligible ZIP Codes,Application Status,Application Window,AMI Min %,AMI Max %,Income Standard,Household Size Used?,Household Composition Rule,Asset Limit,Eligible Tenure,Primary Residence Required,Utility Account Required,Rent/Mortgage Arrears Required,Property Type Rule,First-Time Homebuyer Required,Employment / Occupation Rule,Age Rule,Disability Rule,Veteran Rule,Children / Pregnancy Rule,Credit Score Min,DTI Max %,Home Price / Rent Cap,Citizenship / Immigration Rule,Crisis / Displacement Required,Other Hard Disqualifiers,Benefit Type,Maximum Benefit,Benefit Frequency,Priority Factors,Required Documents,Application Method,Source URL,Last Verified,Verification Status,Internal Notes,Phone,Email,Address,Online schedule link,Intake Hours,Service Area Detail,Eligibility Summary,Availability / Waitlist Notes,Primary Source Type,Secondary Source URL,Research Confidence,Partner Listing Count,Partner Listing IDs,Data Gaps / Follow-Up,Research Date,Application Form URL,Form Notes,Reverification Notes
EAP-PH-01,Energy Assistance Program (EAP) - Primary Heat Grant,Utility bill payment - heating,Tri-CAP (Tri-County Action Program),"Stearns, Benton, Sherburne (+ Morrison)","56301, 56302, 56303, 56304, 56307, 56310, 56312, 56320, 56321, 56329, 56330, 56331, 56332, 56336, 56352, 56353, 56362, 56367, 56368, 56369, 56374, 56375, 56377, 56378, 56379, 56387, 56393, 55308, 55309, 55330, 55362, 55398",CLOSED - FFY26 deadline was 2026-05-31; reopens 2026-10-01 for FFY27,Oct 1 - May 31 annually (program year ends Sep 30),N/A,"N/A (uses State Median Income, not AMI)","50% State Median Income, FFY27 (Oct 1 2026 - Sep 30 2027): 1p $38,464 / 2p $50,299 / 3p $62,134 / 4p $73,969 / 5p $85,804 / 6p $97,639 / 7p $99,858 / 8p $102,077. Monthly max: 1p $3,205 / 4p $6,164. Sizes 1-18 use 50% SMI; sizes 19-20 use 110% FPG. Eligibility is tested on the most recent ONE MONTH of gross income.",Yes,All members of the dwelling counted as one household,None,Renter or Homeowner,Yes,Yes - or heat included in rent (renters with heat-in-rent may still apply),No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,,Grant paid directly to fuel/utility vendor (not cash to household),"$1,400 max / $200 min (FFY26 per LIHEAP Clearinghouse); size varies by household size, income, fuel type, usage","Once per program year, paid as lump sum to vendor","Elderly (60+), households with young children, disability, high energy burden",Photo ID; SSNs for household; proof of gross income for most recent 30 days; utility/fuel account numbers; rent or mortgage amount,"Online (MN Commerce portal), paper by mail, or in person at Tri-CAP",https://tricap.org/what-we-do/basic-needs/energy/,2026-08-10 (FFY27 guidelines confirmed published),Verified - administrator + state source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),Anchor program - most other programs require an EAP award first. FFY27 income guidelines confirmed published as of 2026-07-16.,(320) 251-1612 / (888) 765-5597,general@tricap.org,"1210 23rd Ave S, PO Box 683, Waite Park, MN 56387",,Mon-Fri business hours - confirm current hours by phone,"Sole LIHEAP service provider for Benton, Stearns, Sherburne and Morrison counties",Income-eligible households at or below 50% SMI who pay for home heating (directly or through rent). Assets not counted. Renters and homeowners both eligible.,"Serves roughly 6,700-7,600 households/yr. Federally funded; annual appropriation risk noted in 2025 reporting.",Administrator website,https://mn.gov/commerce/energy/consumer-assistance/energy-assistance-program/guidelines.jsp,High,0,,"FFY27 income table now PUBLISHED and captured. Still outstanding: FFY27 maximum grant amount, and the FFY27 fillable application (Commerce says printable applications return in September 2026).  ||  NEXT ACTION - call Tri-CAP: 1. What is the maximum Energy Related Repair benefit this year, and does it cover full furnace replacement?  2. When a household calls with no heat, what is your actual turnaround â€” same day, 48 hours, longer?  3. Is Reach Out For Warmth still funded and taking applications? If yes, what is the income ceiling and typical grant?  4. For East Central Energy Caring Members, do you screen separately from EAP, and is there a per-household cap?  5. When will the FFY27 application be available, and will you mail it on request?  6. After an application is submitted, how long until a decision, and how is the household told?  7. If someone is denied, what is the appeal route?",2026-08-10,https://mn.gov/commerce-stat/pdfs/eap-application-english-fillable.pdf (2025-26 version - FFY27 version due Sept 2026),"Single form covers BOTH Energy Assistance and Weatherization. Available in English, Spanish, Hmong, Somali, Vietnamese and large print. Part 5 is a consent section authorising data sharing between Commerce, SSA, DHS and DEED. Mail-request form for paper applications is at the apply-by-mail page.",Reverify at FFY27 open (Oct 2026) - income table changes annually.
EAP-CRISIS-02,Energy Crisis Assistance (EAP Crisis Component),Utility crisis fund,Tri-CAP (Tri-County Action Program),"Stearns, Benton, Sherburne (+ Morrison)","56301, 56302, 56303, 56304, 56307, 56310, 56312, 56320, 56321, 56329, 56330, 56331, 56332, 56336, 56352, 56353, 56362, 56367, 56368, 56369, 56374, 56375, 56377, 56378, 56379, 56387, 56393, 55308, 55309, 55330, 55362, 55398",CLOSED for FFY26; reopens with FFY27 on 2026-10-01,Oct 1 - Jul 1 (crisis window runs later than primary heat),N/A,"N/A (uses State Median Income, not AMI)","50% State Median Income, FFY27 (Oct 1 2026 - Sep 30 2027): 1p $38,464 / 2p $50,299 / 3p $62,134 / 4p $73,969 / 5p $85,804 / 6p $97,639 / 7p $99,858 / 8p $102,077. Monthly max: 1p $3,205 / 4p $6,164. Sizes 1-18 use 50% SMI; sizes 19-20 use 110% FPG. Eligibility is tested on the most recent ONE MONTH of gross income.",Yes,All members of the dwelling counted as one household,None,Renter or Homeowner,Yes,Yes,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,"YES - disconnect notice, no heat, or fuel non-delivery required",,Emergency grant to vendor to restore or maintain heat,$600 (FFY26 per LIHEAP Clearinghouse),"As needed within program year, subject to cap and funding","No-heat situations, imminent shutoff, elderly, disabled, young children","Same as EAP plus proof of crisis (disconnect notice, empty-tank/no-delivery notice)",Must have an EAP application on file; call Tri-CAP directly for crisis intake,https://tricap.org/what-we-do/basic-needs/energy/,2026-08-10 (FFY27 guidelines confirmed published),Verified - administrator + federal source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5.5/6),Not a standalone application - rides on the EAP application. Route crisis callers here first before HeatShare.,(320) 251-1612 / (888) 765-5597,general@tricap.org,"1210 23rd Ave S, PO Box 683, Waite Park, MN 56387",,Mon-Fri business hours,Same four-county footprint as EAP primary heat,"EAP-eligible households facing an active heating emergency - shutoff threat, no heat, or fuel run-out.",Funding is finite within the program year; apply early in the season.,Administrator website,https://liheapch.acf.gov/profiles/Minn.htm,High,0,,"FFY27 income table now PUBLISHED and captured. Still outstanding: FFY27 maximum grant amount, and the FFY27 fillable application (Commerce says printable applications return in September 2026).  ||  NEXT ACTION - call Tri-CAP: 1. What is the maximum Energy Related Repair benefit this year, and does it cover full furnace replacement?  2. When a household calls with no heat, what is your actual turnaround â€” same day, 48 hours, longer?  3. Is Reach Out For Warmth still funded and taking applications? If yes, what is the income ceiling and typical grant?  4. For East Central Energy Caring Members, do you screen separately from EAP, and is there a per-household cap?  5. When will the FFY27 application be available, and will you mail it on request?  6. After an application is submitted, how long until a decision, and how is the household told?  7. If someone is denied, what is the appeal route?",2026-08-10,,,Reverify Oct 2026.
EAP-ERR-03,Energy Related Repair (ERR) - Furnace Repair/Replacement,Utility crisis fund - heating system,Tri-CAP (Tri-County Action Program),"Stearns, Benton, Sherburne (+ Morrison)","56301, 56302, 56303, 56304, 56307, 56310, 56312, 56320, 56321, 56329, 56330, 56331, 56332, 56336, 56352, 56353, 56362, 56367, 56368, 56369, 56374, 56375, 56377, 56378, 56379, 56387, 56393, 55308, 55309, 55330, 55362, 55398",CLOSED for FFY26; reopens 2026-10-01,Follows EAP program year,N/A,"N/A (uses State Median Income, not AMI)","50% State Median Income, FFY27 (Oct 1 2026 - Sep 30 2027): 1p $38,464 / 2p $50,299 / 3p $62,134 / 4p $73,969 / 5p $85,804 / 6p $97,639 / 7p $99,858 / 8p $102,077. Monthly max: 1p $3,205 / 4p $6,164. Sizes 1-18 use 50% SMI; sizes 19-20 use 110% FPG. Eligibility is tested on the most recent ONE MONTH of gross income.",Yes,All members of the dwelling counted as one household,None,HOMEOWNER ONLY - owner-occupied dwellings,Yes,Yes,No,Owner-occupied residential only; rental units excluded,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,"Yes - malfunctioning, unsafe, or non-functioning heating system",Renters are ineligible; must be EAP-approved first,Direct payment to contractor for repair or replacement of primary heating system,Varies by repair scope - confirm current cap with Tri-CAP,"As needed, subject to funding",No-heat and life-safety situations first,EAP application on file; proof of ownership; contractor diagnosis,Call Tri-CAP after EAP approval,https://tricap.org/what-we-do/basic-needs/energy/,2026-08-10 (FFY27 guidelines confirmed published),Verified - secondary source  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (4.5/6),"Included because it is the crisis arm of EAP for owner-occupants. Strictly speaking a repair benefit, not a bill-pay benefit.",(320) 251-1612,general@tricap.org,"1210 23rd Ave S, PO Box 683, Waite Park, MN 56387",,Mon-Fri business hours,"Benton, Stearns, Sherburne, Morrison counties",EAP-eligible homeowners whose heating system has failed or is unsafe.,Wait times vary with contractor availability and remaining funds.,Administrator website,https://www.lakesandpines.org/energy-assistance,High,0,,"FFY27 income table now PUBLISHED and captured. Still outstanding: FFY27 maximum grant amount, and the FFY27 fillable application (Commerce says printable applications return in September 2026).  ||  NEXT ACTION - call Tri-CAP: 1. What is the maximum Energy Related Repair benefit this year, and does it cover full furnace replacement?  2. When a household calls with no heat, what is your actual turnaround â€” same day, 48 hours, longer?  3. Is Reach Out For Warmth still funded and taking applications? If yes, what is the income ceiling and typical grant?  4. For East Central Energy Caring Members, do you screen separately from EAP, and is there a per-household cap?  5. When will the FFY27 application be available, and will you mail it on request?  6. After an application is submitted, how long until a decision, and how is the household told?  7. If someone is denied, what is the appeal route?",2026-08-10,,,Reverify Oct 2026.
ROFW-04,Reach Out For Warmth (ROFW),Utility crisis fund,Tri-CAP (Tri-County Action Program),"Stearns, Benton, Sherburne (+ Morrison)","56301, 56302, 56303, 56304, 56307, 56310, 56312, 56320, 56321, 56329, 56330, 56331, 56332, 56336, 56352, 56353, 56362, 56367, 56368, 56369, 56374, 56375, 56377, 56378, 56379, 56387, 56393, 55308, 55309, 55330, 55362, 55398",Closed- Program seems to of ended,"Year-round, funding-dependent",N/A,N/A - designed for households ABOVE the EAP/SMI limit,Moderate income - targets households over-income for EAP; local guidelines set by Tri-CAP,Yes,Household as a unit,None,Renter or Homeowner,Yes,Yes,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,Yes - emergency fuel/heat need,,Emergency fuel/heating bill grant paid to vendor,"Varies - locally funded, typically modest one-time grant",Generally once per heating season,No-heat emergencies; households ineligible for EAP by income,"Proof of income, disconnect or non-delivery notice, ID",Call Tri-CAP,https://tricap.org/reach-out-for-warmth/,2026-08-10,Needs verification - source page is dated  ||  INTAKE KNOWLEDGE: MINIMAL (1/6),State-established 1992; administered locally. Tri-CAP page appears old - confirm program is still active and funded for 2026-27.,(320) 251-1612,general@tricap.org,"1210 23rd Ave S, PO Box 683, Waite Park, MN 56387",,Mon-Fri business hours,"Tri-CAP service counties; funded by local business, church and individual donations",Safety net for households that earn too much for EAP but still face a heating emergency.,Donation-funded - availability fluctuates year to year. Confirm before referring.,Administrator website,https://liheapch.acf.gov/Utility/MN/xcel.htm,Low-Medium,0,,"CONFIRM ACTIVE STATUS. Need current income ceiling, max grant, and whether funds remain for 2026-27.  ||  NEXT ACTION - call Tri-CAP: 1. What is the maximum Energy Related Repair benefit this year, and does it cover full furnace replacement?  2. When a household calls with no heat, what is your actual turnaround â€” same day, 48 hours, longer?  3. Is Reach Out For Warmth still funded and taking applications? If yes, what is the income ceiling and typical grant?  4. For East Central Energy Caring Members, do you screen separately from EAP, and is there a per-household cap?  5. When will the FFY27 application be available, and will you mail it on request?  6. After an application is submitted, how long until a decision, and how is the household told?  7. If someone is denied, what is the appeal route?",2026-08-10,,,High priority - verify by phone before relying on this row.
HEATSHARE-05,HeatShare,Utility crisis fund,The Salvation Army - St. Cloud (Northern Division),Benton and Stearns (per MN Help Me Connect listing),"56301, 56302, 56303, 56304, 56307, 56329, 56367, 56374, 56375, 56377, 56379, 56387","Open - year-round, funding-dependent",Year-round; heaviest demand Oct-Apr,N/A,N/A - uses 50% SMI plus a need test,"At or below 50% State Median Income, plus demonstrated need",Yes,Utility bill must be in the applicant's name,None,Renter or Homeowner,Yes,Yes - account must be in applicant's name,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,YES - disconnection notice required in hand,LAST-RESORT program - must first be denied by county assistance and/or EAP,"Emergency payment to utility/fuel vendor (gas, oil, propane, wood, electricity, emergency furnace repair)",Varies by locality; statewide average approx. $400/household,Once every 12 months,Elderly and disabled households given special consideration,Completed HeatShare application; shutoff notice; proof of income; ID; proof of denial from other programs,"Print and complete HeatShare application; drop off at the Worship and Service Center, or call",https://centralusa.salvationarmy.org/northern/StCloud/heatshare/,2026-08-10,Verified - administrator + state directory  ||  INTAKE KNOWLEDGE: SUBSTANTIAL (5/6),"Key crisis backstop, especially in the EAP off-season (Jun-Sep) when Tri-CAP crisis funds are closed.",(320) 257-7428 (local) / (320) 252-4552 (main) / 1-800-842-7279 (statewide hotline),,"400 US Highway 10 S, St. Cloud, MN 56304",,"Mon-Fri, approx. 8:30am-4:00pm - confirm by phone",St. Cloud corps serves Central MN; HeatShare specifically limited to Benton and Stearns counties,Need-based emergency utility help for households with a shutoff notice who have already been turned down elsewhere.,"Statewide, requests (approx. 40,000/yr) far exceed the roughly 7,800 households served. Expect frequent fund exhaustion.",Administrator website,https://www.centerpointenergy.com/en-us/CustomerService/Pages/heatshare-MN.aspx?sa=MN&au=res,High,0,,"Confirm whether Sherburne County residents are served by a different corps. Confirm current local max grant.  ||  NEXT ACTION - call The Salvation Army â€” St. Cloud: 1. Can you email or post me the current HeatShare application? Your website link is broken.  2. What is the typical and maximum grant here this year?  3. What proof of prior denial do you need, and will a verbal denial do?  4. How long from application to payment?  5. Do you serve Sherburne County residents, or only Benton and Stearns?  6. When in the season do funds usually run out?",2026-08-10,https://centralusa.salvationarmy.org/northern/StCloud/heatshare/,Paper application; drop-off preferred. No online submission found.,Reverify quarterly - funding-dependent.
GAP-SA-06,Gas Affordability Program (GAP) - Salvation Army administered,Utility bill discount - natural gas,The Salvation Army (administrator for participating gas utilities),"Statewide MN, including Stearns, Benton, Sherburne",Statewide - depends on gas utility service territory,Open - enrollment tied to EAP award,Year-round; requires a current-season EAP award,N/A,"N/A (uses State Median Income, not AMI)",Must be an approved EAP (LIHEAP) recipient for the current heating season; EAP eligibility is at or below 50% of State Median Income,Yes,Household as billed,None,Renter or Homeowner,Yes,Yes - active residential natural gas account,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,No EAP award = not eligible. Falling behind on the agreed monthly payment removes you from the program.,"Monthly bill discount capping gas costs at a set share of income, plus arrears forgiveness credits",Statute caps participant gas payments at no more than 6% of household income,"Monthly, ongoing while enrolled","First-come, first-served until budget is reached",EAP award letter; gas account number; income verification,Apply through Salvation Army or Energy CENTS Coalition after EAP approval,https://centralusa.salvationarmy.org/northern/StCloud/utility-assistance/,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: PARTIAL (4/6),Overlaps with XCEL-GAP-08. Which administrator applies depends on the household's gas utility. Verify per-utility routing.,(320) 252-4552,,"400 US Highway 10 S, St. Cloud, MN 56304",,Mon-Fri business hours,Required by 2007 MN legislation of all investor-owned natural gas utilities,Ongoing monthly gas discount for EAP recipients - not a one-time grant.,Enrollment capped by utility budget; enroll early in the season.,Administrator website,https://liheapch.acf.gov/profiles/Minn.htm,Medium-High,0,,"Determine which gas utilities in the St. Cloud area route to Salvation Army vs. Energy CENTS.  ||  NEXT ACTION - call The Salvation Army â€” St. Cloud: 1. Can you email or post me the current HeatShare application? Your website link is broken.  2. What is the typical and maximum grant here this year?  3. What proof of prior denial do you need, and will a verbal denial do?  4. How long from application to payment?  5. Do you serve Sherburne County residents, or only Benton and Stearns?  6. When in the season do funds usually run out?",2026-08-10,,,Reverify annually at EAP season open.
XCEL-POWERON-07,PowerOn (Xcel Energy electric affordability),Utility bill discount - electric,"Energy CENTS Coalition, on behalf of Xcel Energy","Xcel electric service territory incl. Stearns, Benton, Sherburne","Xcel service territory - 56301, 56302, 56303, 56304, 56374, 56377, 56379, 56387 and others","Open - rolling enrollment, first-come first-served until budget reached",Year-round; requires current-season EAP award,N/A,"N/A (uses State Median Income, not AMI)",Must be an approved EAP (LIHEAP) recipient for the current heating season; EAP eligibility is at or below 50% of State Median Income,Yes,Household as billed,None,Renter or Homeowner,Yes,Yes - active Xcel Energy residential electric account,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,Must accept a leveled/budget payment plan. Missing a payment removes you from the program and blocks reapplication until the next calendar year.,Monthly electric bill discount plus monthly credit toward past-due balance,Varies - set payment is a percentage of household income; arrears credits applied monthly,Monthly while enrolled and current,"First-come, first-served",EAP award letter; Xcel account number; income documentation,"Application to Energy CENTS Coalition (mail, fax, or online) after EAP award received",https://www.energycents.org/programs/gas-electric-affordability,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: COMPLETE (6/6),Do NOT tell clients to contact Energy CENTS before they have an EAP award letter - a documented intake problem.,(651) 774-9010 / (888) 774-9070 | Xcel: 1-866-975-7327,ecc@energycents.org,"823 E 7th St, St. Paul, MN 55106",,Mon-Fri business hours,Statewide within Xcel electric territory; St. Cloud is Xcel-served,Income-based monthly electric payment plus arrears forgiveness for EAP recipients with Xcel electric service.,Enrollment capped by program budget each year.,Administrator website,https://cubminnesota.org/utility-affordability-programs,High,0,,Confirm current program-year budget status and whether enrollment is still open for 2026-27.,2026-08-10,https://www.energycents.org/apply-now,,Must re-qualify each heating season via new EAP award.
XCEL-GAP-08,Gas Affordability Program (Xcel Energy),Utility bill discount - natural gas,"Energy CENTS Coalition, on behalf of Xcel Energy","Xcel gas service territory incl. Stearns, Benton, Sherburne",Xcel gas service territory - verify by address,"Open - rolling enrollment, budget-capped",Year-round; requires current-season EAP award,N/A,"N/A (uses State Median Income, not AMI)",Must be an approved EAP (LIHEAP) recipient for the current heating season; EAP eligibility is at or below 50% of State Median Income,Yes,Household as billed,None,Renter or Homeowner,Yes,Yes - active Xcel Energy residential gas account,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,Leveled payment plan required; missed payment ends enrollment until next calendar year,Monthly gas bill discount plus arrears forgiveness credit,Payments capped at no more than 6% of household income (statutory),Monthly while enrolled,"First-come, first-served",EAP award letter; Xcel gas account number; income documentation,Application to Energy CENTS Coalition after EAP award,https://www.energycents.org/programs/gas-electric-affordability,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: COMPLETE (6/6),PowerOn and GAP are commonly enrolled together via one application.,(651) 774-9010 / (888) 774-9070,ecc@energycents.org,"823 E 7th St, St. Paul, MN 55106",,Mon-Fri business hours,Applies where Xcel is the gas provider; other area households may use CenterPoint or MERC equivalents,Same structure as PowerOn but for gas service.,Budget-capped annually.,Administrator website,https://liheapch.acf.gov/profiles/Minn.htm,High,0,,Map which St. Cloud-area addresses are Xcel gas vs. CenterPoint vs. MERC vs. Greater MN Gas.,2026-08-10,https://www.energycents.org/apply-now,,Re-qualify each heating season.
XCEL-SENIOR-09,Senior / Disability Electric Discount (Xcel Energy),Utility bill discount - electric,Xcel Energy,"Xcel electric territory incl. Stearns, Benton, Sherburne",Xcel electric service territory,Open - automatic enrollment upon EAP award,Year-round,N/A,"N/A (uses State Median Income, not AMI)",Must receive Energy Assistance (EAP); EAP eligibility is at or below 50% of State Median Income,Yes,Discount is per qualifying individual on the account,None,Renter or Homeowner,Yes,Yes - Xcel electric account,No,Any residential dwelling,No,None,62 or older QUALIFIES (age-based eligibility),Household member with a disability also qualifies,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,,Flat monthly bill credit,$15 per qualifying individual per billing period,Monthly,None - automatic if criteria met,None beyond EAP award (auto-enrolled),Automatic upon receiving EAP; no separate application,https://www.minneapolismn.gov/news/2025/november/heating-and-electricity-assistance,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: COMPLETE (6/6),Legacy 50%-of-first-300-kWh discount has been restructured into the flat credit and LUAC. Older sources still describe the 50% version.,1-800-895-4999 / 1-866-975-7327,,,,,Xcel electric customers statewide,Automatic $15/month electric credit for EAP recipients age 62+ or with a disability.,No cap or waitlist reported.,Administrator website,https://cubminnesota.org/utility-affordability-programs,High,0,,Confirm current 2026 discount amount directly with Xcel - sources differ between $15 flat and older percentage structure.,2026-08-10,,,Reverify annually.
XCEL-LUAC-10,Low Usage Affordability Credit (LUAC),Utility bill discount - electric,Xcel Energy,"Xcel electric territory incl. Stearns, Benton, Sherburne",Xcel electric service territory,Open - automatic enrollment,Year-round,N/A,"N/A (uses State Median Income, not AMI)",EAP recipients auto-enrolled. ALTERNATIVE PATH: customers averaging under 300 kWh/month may SELF-DECLARE if they qualify for another Minnesota assistance program such as Medical Assistance or SNAP - no EAP award needed.,Yes,Per account,None,Renter or Homeowner,Yes,Yes - Xcel electric account averaging 300 kWh/month or less,No,Any residential dwelling,No,None,None,None,None,None,N/A,N/A,N/A,Not stated in public materials - VERIFY with administrator,No,Average usage above 300 kWh/month. Not available for seasonal or alternative residential properties.,Automatic monthly bill credit,35% discount on the energy-charge portion of the monthly bill,Monthly,None - automatic,None (auto-enrolled from EAP data),Automatic for EAP recipients; otherwise submit the LUAC self-declaration form to Xcel,https://mn.my.xcelenergy.com/s/billing-payment/energy-assistance/low-usage-bill-credit,2026-08-10,Verified - secondary source  ||  INTAKE KNOWLEDGE: COMPLETE (6/6),IMPORTANT: the self-declaration route means a SNAP or Medical Assistance household can get LUAC even in the EAP off-season. One of the few things available right now.,1-866-975-7327,,,,,Xcel electric customers with low monthly consumption,Automatic credit for EAP recipients who use 300 kWh/month or less on average.,No waitlist reported.,Administrator website,https://www.minneapolismn.gov/news/2025/november/heating-and-electricity-assistance,High,0,,"Resolved - benefit is a 35% energy-charge discount and a non-EAP self-declaration route exists.  ||  NEXT ACTION - call Energy CENTS Coalition: 1. What is the income threshold for the Medical Affordability Programme?  2. What counts as a qualifying chronic or severe medical condition, and who can certify it?  3. What is the typical MAP benefit?  4. Confirm the Low Usage Affordability Credit is 35% of the energy charge, and what a household typically saves.  5. Is MAP enrolment currently open or has the budget been reached?",2026-08-10,https://www.xcelenergy.com/staticfiles/xe-responsive/Billing%20&%20Payment/Energy%20Assistance/MN-LUAC-Self-Declaration.pdf,,Reverify annually.
